"Clubs","Rang","Pts","J.","G.","N.","P.","Bonus","Pts.M","Pts.E","Diff.","#","Matchs","Total ballons joués","Plaquages défensifs réussis","Plaquages offensifs réussis","Plaquages réussis (%)","Plaquages manqués","Plaquages manqués (%)","Plaquages totaux","Ballons joués au pied","Ballons joués au pied (%)","Ballons joués à la main","Ballons joués à la main (%)","Total passes","Total passes turnover","Saison"
"ASM Clermont",6,28,12,7,0,5,0,298,303,-5,14,12,2938,1241,156,85,202,12,1637,214,7,2724,93,1532,175,"2020"
"Aviron Bayonnais",11,23,12,5,1,6,1,225,306,-81,11,12,2795,1524,74,87,191,10,1844,233,8,2562,92,1363,163,"2020"
"CA Brive",9,24,12,5,1,6,2,242,304,-62,13,12,2674,1631,145,86,248,12,2068,226,8,2448,92,1309,165,"2020"
"Castres Olympique",12,23,12,5,0,7,3,296,324,-28,7,12,2664,1550,142,87,230,12,1951,238,9,2426,91,1352,159,"2020"
"LOU Rugby",2,40,12,9,0,3,4,359,193,166,8,12,3105,1400,143,87,175,10,1765,230,7,2875,93,1696,186,"2020"
"Montpellier Hérault Rugby",8,27,12,4,3,5,5,292,256,36,3,12,2728,1448,172,88,183,10,1832,179,7,2549,93,1507,173,"2020"
"Racing 92",7,28,12,5,1,6,6,298,251,47,5,12,3198,1563,210,88,207,10,2022,266,8,2932,92,1688,154,"2020"
"RC Toulon",3,31,12,6,2,4,3,276,252,24,9,12,2646,1502,194,87,212,11,1955,224,8,2422,92,1387,167,"2020"
"Section Paloise",10,23,12,5,0,7,3,240,273,-33,10,12,2983,1615,137,87,207,10,2007,212,7,2771,93,1557,180,"2020"
"Stade Français Paris",14,16,12,3,1,8,2,223,374,-151,1,12,2821,1578,202,89,176,9,1991,197,7,2624,93,1510,164,"2020"
"Stade Rochelais",5,28,12,6,0,6,4,254,252,2,12,12,3137,1269,188,86,179,11,1687,219,7,2918,93,1772,177,"2020"
"Stade Toulousain",4,30,12,6,1,5,4,266,230,36,6,12,2888,1380,169,88,175,10,1758,251,9,2637,91,1492,162,"2020"
"SU Agen",13,17,12,3,1,8,3,219,288,-69,2,12,2868,1761,171,88,222,10,2195,238,8,2630,92,1534,163,"2020"
"Union Bordeaux-Bègles",1,42,12,9,1,2,4,345,227,118,4,12,3212,1487,167,88,196,10,1886,243,8,2969,92,1679,159,"2020"
